index	Dominant_Topic	Perc_Contribution	Topic_Keywords	0
10	17.0	0.508899986743927	مجموعة, اختبار, خاص, مسار, أعلى, اثن, غرفة, قائد, موضوع, تعزيز	['بأمر', 'من', 'صاحب', 'الجلالة', 'الملك', 'محمد', 'السادس', 'القائد', 'الأعلى', 'و', 'رئيس', 'أركان', 'الحرب', 'العامة', 'للقوات', 'المسلحة', 'الملكية', 'ستخصص', 'منحة', 'الإمتياز', 'ابتداءا', 'من', 'السنة', 'الجامعية', '-', 'لفائدة', 'الحاصلين', 'على', 'شهادة', 'الباكالوريا', 'بامتياز', 'من', 'أبناء', 'هذه', 'الشريحة']
11	11.0	0.07370000332593918	جديدة, شركة, مقارنة, وأوضحت, تعا, لمدة, مجموع, نجاح, وطنية, جمعة	['و', 'سيستفيد', 'من', 'هذه', 'المنح', 'التي', 'تتم', 'في']
12	24.0	0.21960000693798065	اجتماعي, كامل, نتيجة, طفل, مدير, نفسية, مقرر, عامة, طاقة, قيام	['طار', 'المجهودات', 'الرامية']
13	17.0	0.17010000348091125	مجموعة, اختبار, خاص, مسار, أعلى, اثن, غرفة, قائد, موضوع, تعزيز	['لى', 'دعم', 'أبناء', 'العسكريين', 'و', 'موظفي']
14	12.0	0.3003000020980835	خدمة, مواقع, بناء, عالمية, تابع, توفر, تنفيذ, سوق, قصور, عادية	['دارة', 'الدفاع', 'الوطني', 'سواء', 'المزاولين', 'للخدمة', 'أو', 'المتقاعدين', 'التابعين', 'للمديرية', 'العامة', 'للمصالح', 'الإجتماعية', 'ومؤسسة', 'الحسن', 'الثاني', 'للأعمال', 'الإجتماعية', 'لقدماء', 'العسكريين', 'و', 'قدماء', 'المحاربين', 'التلاميذ', 'الحاصلين', 'على', 'شهادة', 'الباكالوريا', 'بمعدل', 'يفوق', '/']
15	5.0	0.3531999886035919	مرضى, منتج, تشغيل, شهر, أشهر, دقيقة, وأشارت, خطوة, حدود, دورة	['وتبلغ', 'قيمة', 'المنحة', 'درهم', 'في', 'الشهر', 'لكل', 'مستفيد', 'و', 'تصل', 'مدتها', 'إلى', 'خمس', 'سنوات', 'جامعية', '(', 'أشهر', 'كل', 'سنة)']
16	33.0	0.2791999876499176	معلوم, اتصال, مستقبل, أمم, إلكترونية, طرق, درجة, كافية, تتبع, حسن	['و', 'للإستفادة', 'من', 'هذه', 'المنحة', 'يجب', 'على', 'المعنيين', 'بالأمر', 'الذين', 'تَحَصَّلَ', 'أبناؤهم', 'على', 'شهادة', 'الباكالوريا', 'بالمعدل', 'المذكور', 'أعلاه', 'أن', 'يتصلوا', 'بمندوبية', 'المديرية', 'العامة', 'للمصالح', 'الإجتماعية', 'أو', 'بمندوبية', 'مؤسسة', 'الحسن', 'الثاني', 'للأعمال', 'الإجتماعية', 'لقدماء', 'العسكريين', 'و', 'قدماء', 'المحاربين', 'القريبة', 'منهم', 'وذلك', 'قبل', 'نهاية', 'شهر', 'يوليوز', 'من', 'كل', 'سنة', 'دراسية', 'كحد', 'أقصى', '(وبالنسبة', 'للسنة', 'الجارية']
17	8.0	0.31619998812675476	تقنية, وجود, تحديد, فيديوه, جاري, يذكر, غاية, جنسية, مخصصة, مرحلة	['لى', 'غاية', 'غشت)', 'لتقديم', 'ملفاتهم']
18	33.0	0.3756999969482422	معلوم, اتصال, مستقبل, أمم, إلكترونية, طرق, درجة, كافية, تتبع, حسن	['تحدد', 'لوائح', 'المستفيدين', 'من', 'طرف', 'لجنة', 'مختصة', 'و', 'يتم', 'انتقاء', 'المستفيدين', 'حسب', 'درجة', 'الإستحقاق']
19	0.0	0.38989999890327454	وأضاف, ولايات_المتحدة, أمريكية, حصول, عملي, حاجة, دولية, أهمية, جيدة, إشارة	['وتبقى', 'هذه', 'المندوبيات', 'رهن', 'إشارة', 'العسكريين', 'و', 'المتقاعدين', 'منهم', 'لمعرفة', 'الشروط', 'اللازمة', 'للحصول', 'على', 'هذه', 'المنح']
